01,北海道,札幌市
02,青森県,青森市
03,岩手県,盛岡市
04,宮城県,仙台市
05,秋田県,秋田市
06,山形県,山形市
07,福島県,福島市
08,茨城県,水戸市
09,栃木県,宇都宮市
10,群馬県,前橋市
11,埼玉県,さいたま市
12,千葉県,千葉市
13,東京都,新宿区
14,神奈川県,横浜市
15,新潟県,新潟市
16,富山県,富山市
17,石川県,金沢市
18,福井県,福井市
19,山梨県,甲府市
20,長野県,長野市
21,岐阜県,岐阜市
22,静岡県,静岡市
23,愛知県,名古屋市
24,三重県,津市
25,滋賀県,大津市
26,京都府,京都市
27,大阪府,大阪市
28,兵庫県,神戸市
29,奈良県,奈良市
30,和歌山県,和歌山市
31,鳥取県,鳥取市
32,島根県,松江市
33,岡山県,岡山市
34,広島県,広島市
35,山口県,山口市
36,徳島県,徳島市
37,香川県,高松市
38,愛媛県,松山市
39,高知県,高知市
40,福岡県,福岡市
41,佐賀県,佐賀市
42,長崎県,長崎市
43,熊本県,熊本市
44,大分県,大分市
45,宮崎県,宮崎市
46,鹿児島県,鹿児島市
47,沖縄県,那覇市
